SCENARIO,SVR_PEER,HUB_PEER,SVR_NODE,HUB_NODE,Peering node 1,Peering node 2,EMAIL
iBasis AP OP-SVR,Syniverse AP DSC,iBasis AP/EU DRA,hkg-01.dra.ipx.syniverse.3gppnetwork.org/sng-01.dra.ipx.syniverse.3gppnetwork.org,drahkg101.ibasis.grx/draams101.ibasis.grx,drahkg101.ibasis.grx,draams101.ibasis.grx,roaming <roaming@ibasis.net>
iBasis EU OP-SVR,Syniverse EU DSC,iBasis EU/NA DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,draams101.ibasis.grx/dranyc101.ibasis.grx,draams101.ibasis.grx,dranyc101.ibasis.grx,roaming <roaming@ibasis.net>
iBasis NA OP-SVR,Syniverse NA DSC,iBasis NA DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,dranyc101.ibasis.grx/dramia101.ibasis.grx,dranyc101.ibasis.grx,dramia101.ibasis.grx,roaming <roaming@ibasis.net>
Lyca ,Syniverse EU DSC,Lyca DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,dra01/2/3/4.epc.mnc026.mcc234.3gppnetwork.org/,dra01/2/3/4.epc.mnc026.mcc234.3gppnetwork.org,,TBD
MTT ,Syniverse NA DSC,MTT DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,MSK18.DRA18.MTT.GRX/MSK18.DRA1.MTT.GRX,MSK18.DRA18.MTT.GRX,MSK18.DRA1.MTT.GRX,ipx@mtt.ru
OTE_Globe,Syniverse NA DSC,OTE Globe DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,ktidc(nmidc)1/2-16.dea.ipx.oteglobe.3gppnetwork.org/nmidc1/2-16.dea.ipx.oteglobe.3gppnetwork.org,ktidc(nmidc)1/2-16.dea.ipx.oteglobe.3gppnetwork.org,nmidc1/2-16.dea.ipx.oteglobe.3gppnetwork.org,ismc@oteglobe.gr;Voice_Planning@oteglobe.gr
PCCWG,Syniverse EU DSC,PCCWG DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,dra01-n1-bru01.pccwglobal.ipxnetwork.org/dra01-n2-bru01.pccwglobal.ipxnetwork.org,dra01-n1-bru01.pccwglobal.ipxnetwork.org,dra01-n2-bru01.pccwglobal.ipxnetwork.org,dluyens@pccwglobal.com;ddebackere@pccwglobal.com;cbernard@pccwglobal.com
SAP -SVR AP,Syniverse AP DSC,SAP AP DRA,hkg-01.dra.ipx.syniverse.3gppnetwork.org/sng-01.dra.ipx.syniverse.3gppnetwork.org,dra01.sg.sybase.ipx/dra02.sg.sybase.ipx,dra01.sg.sybase.ipx,dra02.sg.sybase.ipx,roamingrequest@sap.com;michael.van.veen@sap.com
SAP -SVR EU/NA,Syniverse EU DSC,SAP EU DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,dra01.sybase.ipx /dra02.sybase.ipx,dra01.sybase.ipx????????????? ,dra02.sybase.ipx????????????? ,roamingrequest@sap.com;michael.van.veen@sap.com
TATA,Syniverse NA DSC,TATA DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,mttdsxdra3.tatacomm.ipxnetwork.org/tttdsxdra3.tatacomm.ipxnetwork.org,mttdsxdra3.tatacomm.ipxnetwork.org,tttdsxdra3.tatacomm.ipxnetwork.org,Roaming@tatacommunications.com
Tele2,Syniverse EU DSC,Tele2 DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,avk6-dea-1a.mnc007.mcc240.3gppnetwork.org/hgd-dea-1a.mnc007.mcc240.3gppnetwork.org,avk6-dea-1a.mnc007.mcc240.3gppnetwork.org,hgd-dea-1a.mnc007.mcc240.3gppnetwork.org,International.Roaming@Tele2.com
Telecom_Austria,Syniverse EU DSC,Telecom Austria DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,lfad-tag-dxa-02.spn28834.ipxsp.org/wars-tag-dxa-01.spn28834.ipxsp.org,lfad-tag-dxa-02.spn28834.ipxsp.org,wars-tag-dxa-01.spn28834.ipxsp.org,LTE.signalling@a1telekom.at
Telenor - SVR EU/AP OP,Syniverse EU DSC,Telenor EU DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,"telenoripx.osl1dra1.telenor.grx
telenoripx.osl2dra1.telenor.grx/telenoripx.osl1dra2.telenor.grx
telenoripx.osl2dra2.telenor.grx","telenoripx.osl1dra1.telenor.grx
telenoripx.osl2dra1.telenor.grx","telenoripx.osl1dra2.telenor.grx
telenoripx.osl2dra2.telenor.grx",LTEroamingrequests@telenor.com ;Clayton.Milos@telenor.com;torbjorn.Pettersson@telenor.com;Farhan.Tariq@telenor.com
Telenor AP - SVR(not used yet),Syniverse AP DSC,Telenor AP DRA,hkg-01.dra.ipx.syniverse.3gppnetwork.org/sng-01.dra.ipx.syniverse.3gppnetwork.org,sgp1dra1.telenor.grx/,sgp1dra1.telenor.grx,,LTEroamingrequests@telenor.com ;Clayton.Milos@telenor.com;torbjorn.Pettersson@telenor.com;Farhan.Tariq@telenor.com
Telenor -SVR NA OP,Syniverse NA DSC,Telenor EU DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,telenoripx.osl1dra1.telenor.grx/telenoripx.osl2dra1.telenor.grx,"telenoripx.osl1dra1.telenor.grx
telenoripx.osl2dra1.telenor.grx","telenoripx.osl1dra2.telenor.grx
telenoripx.osl2dra2.telenor.grx",LTEroamingrequests@telenor.com ;Clayton.Milos@telenor.com;torbjorn.Pettersson@telenor.com;Farhan.Tariq@telenor.com
TeliaSonera,Syniverse NA DSC,TeliaSonera DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,dea1.signal.teliasonera.ipxnetwork.org/dea1b.signal.teliasonera.ipxnetwork.org,dea1.signal.teliasonera.ipxnetwork.org,dea1b.signal.teliasonera.ipxnetwork.org,Voice-Roaming@teliasonera.com;sourav.mandal@teliasonera.com;matti.lehto@teliasonera.com
Telstra,Syniverse NA DSC,Telstra AP DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,"hkgh.dra.ipx.telstra-global.3gppnetwork.org,hkgt.dra.ipx.telstra-global.3gppnetwork.org/sydo.dra.ipx.telstra-global.3gppnetwork.org,sydp.dra.ipx.telstra-global.3gppnetwork.org","hkgh.dra.ipx.telstra-global.3gppnetwork.org,hkgt.dra.ipx.telstra-global.3gppnetwork.org","sydo.dra.ipx.telstra-global.3gppnetwork.org,sydp.dra.ipx.telstra-global.3gppnetwork.org",Helen.wong@team.telstra.com
TIM_Sparkle - SVR AP/EU OP,Syniverse EU DSC,TIS DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,dra01.net2mobile.grx/dra02.net2mobile.grx,dra01.net2mobile.grx,dra02.net2mobile.grx,mobile-provisioning@telecomitalia.it
TIM_Sparkle- SVR NA OP,Syniverse NA DSC,TIS DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,dra01.net2mobile.grx/dra02.net2mobile.grx,dra01.net2mobile.grx,dra02.net2mobile.grx,mobile-provisioning@telecomitalia.it
TIWS EU OP-SVR,Syniverse EU DSC,TIWS EU DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,drafra01.tgsolutions.grx\ dramad01.tgsolutions.grx,,,TBD
TIWS NA OP-SVR,Syniverse NA DSC,TIWS NA DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,drabr01.tgsolutions.grx/dramia01.tgsolutions.grx,drabr01.tgsolutions.grx,dramia01.tgsolutions.grx,diametercarrier@telefonica.com
TNS,Syniverse NA DSC,TNS DRA,chi-01.dra.ipx.syniverse.3gppnetwork.org/dal-01.dra.ipx.syniverse.3gppnetwork.org,chidra02.tnsi.com/dtxdra02.tnsi.com,chidra02.tnsi.com,dtxdra02.tnsi.com,Roamingsvs@tnsi.com;operations@tnsi.com;dhenderson@tnsi.com;dwilkins@tnsi.com
VCS,Syniverse EU DSC,VCS EU DRA,ams-01.dra.ipx.syniverse.3gppnetwork.org/frt-01.dra.ipx.syniverse.3gppnetwork.org,"drs11.vodafone.grx,drs12.vodafone.grx /drs21.vodafone.grx,drs22.vodafone.grx ","drs11.vodafone.grx,drs12.vodafone.grx ","drs21.vodafone.grx,drs22.vodafone.grx ",Ranadip.Sengupta@vodafone.com;DL-ipx-roaming@vodafone.com;Jitender.Singh10@Vodafone.com
